"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"冠城国际","CCI","108.92","109.63","108.64","+0.39","+0.36%","2.02M","03:59:59"
"切萨皮克能源","CHK","4.460","4.550","4.430","+0.060","+1.36%","18.36M","03:59:59"
"利安德巴塞尔公司","LYB","102.78","104.39","102.60","-1.51","-1.45%","1.90M","03:59:59"
"加特纳","IT","159.31","159.59","157.45","+0.36","+0.23%","461.89K","03:59:59"
"动视暴雪公司","ATVI","82.87","83.23","81.92","+1.30","+1.59%","5.87M","03:59:59"
"劳氏公司","LOW","114.50","115.18","113.57","-0.29","-0.25%","4.42M","03:59:59"
"北方信托公司","NTRS","102.93","103.96","102.13","-0.18","-0.17%","749.50K","03:59:59"
"卓越能源","XEL","46.58","46.80","46.01","+0.51","+1.11%","2.95M","03:59:59"
"博格华纳","BWA","42.77","43.28","42.70","-0.61","-1.41%","1.45M","03:59:59"
"博通","AVGO","246.45","247.88","244.91","+1.02","+0.42%","2.96M","03:59:59"
"卡伯特油气公司","COG","22.97","23.17","22.46","+0.51","+2.27%","9.21M","03:59:59"
"卡地纳健康","CAH","54.06","54.53","53.57","+0.43","+0.80%","2.04M","03:59:59"
"卡特彼勒公司","CAT","152.47","154.05","151.20","-0.70","-0.46%","2.67M","03:59:59"
"印北瓦电","NI","24.78","24.95","24.57","+0.22","+0.90%","2.46M","03:59:59"
"发现金融服务","DFS","77.10","77.82","76.98","-0.34","-0.44%","1.36M","03:59:59"
"可口可乐公司","KO","46.01","46.18","45.68","+0.16","+0.35%","10.83M","03:59:59"
"史赛克公司","SYK","175.04","175.76","174.67","-0.27","-0.15%","1.01M","03:59:59"
"吉利德科学公司","GILD","76.58","77.10","75.57","+0.93","+1.23%","5.45M","03:59:59"
"味好美公司","MKC","128.29","129.57","122.00","-1.60","-1.23%","1.76M","03:59:59"
"哈尼斯品牌服装","HBI","18.13","18.31","18.01","+0.03","+0.17%","2.79M","03:59:59"
"哈里伯顿公司","HAL","40.59","41.20","40.22","-0.49","-1.19%","10.92M","03:59:59"
"哈里斯公司","HRS","167.20","167.85","165.20","+1.95","+1.18%","704.14K","03:59:59"
"哈雷戴维森公司","HOG","45.00","45.26","44.39","+0.17","+0.38%","1.20M","03:59:59"
"哥伦比亚广播公司","CBS","56.55","56.74","55.90","+0.05","+0.09%","2.36M","03:59:59"
"嘉信理财公司","SCHW","50.52","50.91","50.42","-0.20","-0.39%","4.69M","03:59:59"
"因塞特医疗","INCY","69.04","69.43","67.00","+1.62","+2.40%","971.83K","03:59:59"
"固特异轮胎橡胶公司","GT","23.23","23.51","23.12","-0.09","-0.39%","1.70M","03:59:59"
"国际纸业公司","IP","50.23","51.00","50.19","-0.72","-1.41%","2.45M","03:59:59"
"国际香料香精公司","IFF","138.54","138.69","136.99","+1.53","+1.12%","1.48M","03:59:59"
"地区金融公司","RF","18.54","18.91","18.52","-0.40","-2.11%","14.00M","03:59:59"
"埃克森美孚公司","XOM","85.77","86.38","85.59","-0.01","-0.01%","7.90M","03:59:59"
"埃培智","IPG","22.79","23.33","22.57","-0.41","-1.77%","3.77M","03:59:59"
"埃塞克斯信托","ESS","241.89","242.54","238.29","+3.65","+1.53%","564.88K","03:59:59"
"埃森哲公司","ACN","170.05","173.93","168.70","-2.92","-1.69%","3.11M","03:59:59"
"堪萨斯南方铁路","KSU","114.49","115.66","114.40","-1.20","-1.04%","874.34K","03:59:59"
"塔吉特公司","TGT","87.51","88.24","87.38","-0.38","-0.43%","3.08M","03:59:59"
"墨式烧烤公司","CMG","465.40","473.98","464.35","-2.51","-0.54%","440.70K","03:59:59"
"大都会人寿公司","MET","46.90","47.37","46.88","-0.29","-0.61%","4.90M","03:59:59"
"太平洋瓦斯与电力公司","PCG","45.27","45.63","44.89","+0.11","+0.24%","4.97M","03:59:59"
"太阳信托银行","STI","67.23","68.35","67.14","-1.11","-1.62%","2.98M","03:59:59"
"奈飞公司","NFLX","380.71","383.20","376.00","+2.83","+0.75%","7.33M","03:59:59"
"奎斯特诊断","DGX","107.25","108.24","107.06","-0.23","-0.21%","876.63K","03:59:59"
"奥莱利汽车公司","ORLY","345.90","348.30","344.32","+0.18","+0.05%","354.39K","03:59:59"
"奥驰亚集团公司","MO","60.77","61.50","60.63","-0.04","-0.07%","4.21M","03:59:59"
"好市多公司","COST","234.00","235.67","232.34","+0.19","+0.08%","1.42M","03:59:59"
"好时食品集团","HSY","101.74","102.63","101.19","-0.26","-0.25%","521.30K","03:59:59"
"威富集团","VFC","93.12","93.87","92.60","+0.54","+0.58%","1.33M","03:59:59"
"威廉姆斯公司","WMB","27.26","27.34","27.11","+0.16","+0.59%","8.75M","03:59:59"
"威斯康辛能源","WEC","65.84","66.06","65.02","+0.80","+1.23%","1.56M","03:59:59"
"威瑞信公司","VRSN","159.14","160.95","158.44","+0.22","+0.14%","564.31K","03:59:59"
"威讯通信公司","VZ","53.59","53.87","53.15","+0.45","+0.85%","13.35M","03:59:59"
"孩之宝公司","HAS","105.98","107.16","105.91","-0.41","-0.39%","687.98K","03:59:59"
"安富来再保险集团公司","RE","228.19","229.54","226.60","+0.40","+0.18%","149.62K","03:59:59"
"安德玛","UAA","21.05","21.53","20.86","-0.05","-0.24%","2.72M","03:59:59"
"安德玛公司","UA","19.240","19.660","19.136","-0.030","-0.16%","1.70M","03:59:59"
"安捷伦科技公司","A","70.80","70.85","70.10","+0.47","+0.67%","1.58M","03:59:59"
"安泰保险","AET","202.68","203.51","201.87","+0.92","+0.46%","2.24M","03:59:59"
"安特吉公司","ETR","79.93","80.20","79.00","+0.84","+1.06%","1.48M","03:59:59"
"安西斯公司","ANSS","186.40","187.24","185.50","+1.42","+0.77%","443.43K","03:59:59"
"安费诺集团","APH","93.47","94.09","93.42","-0.13","-0.14%","857.34K","03:59:59"
"安进公司","AMGN","208.89","210.19","206.84","+2.06","+1.00%","2.57M","03:59:59"
"完全系统","TSS","97.87","98.57","97.65","-0.21","-0.21%","720.49K","03:59:59"
"宏盟集团","OMC","68.21","70.54","66.48","-2.11","-3.00%","3.36M","03:59:59"
"宝洁公司","PG","82.86","83.63","82.81","-0.40","-0.48%","6.28M","03:59:59"
"实耐宝公司","SNA","184.24","185.47","183.54","-0.25","-0.14%","278.33K","03:59:59"
"实验美控","LH","170.76","171.83","170.48","-0.09","-0.05%","508.98K","03:59:59"
"宣伟公司","SHW","455.52","460.05","453.93","-2.59","-0.57%","645.14K","03:59:59"
"家乐氏","K","70.01","71.54","69.50","-1.90","-2.64%","2.17M","03:59:59"
"家得宝公司","HD","206.84","207.83","205.67","-0.68","-0.33%","3.22M","03:59:59"
"富乐客","FL","50.63","51.09","50.07","+0.51","+1.02%","2.90M","03:59:59"
"富兰克林资源有限公司","BEN","31.03","31.38","30.94","-0.11","-0.35%","3.17M","03:59:59"
